Mohan Lal,M,2000-08-19,ml@gmail.com,9210392132
Ayush Singla,M,2002-08-18,as@gmail.com,9245562142
Yash Gupta,M,2002-08-03,yg@gmail.com,9210462542
Sanju Sabu,M,2001-09-20,ss@gmail.com,9132210392
Samyak Bansal,M,2002-08-22,sb@gmail.com,9938364221
Satya Kiran,M,2000-08-10,sk@gmail.com,9746435272
Pranjay Gupta,M,2001-08-11,pg@gmail.com,8964427422
Lakshya Boob,M,2005-08-21,lb@gmail.com,7397545623
M Sathwic,M,2001-12-03,ms@gmail.com,3746673456
Meet Jain,M,1989-10-03,mj@gmail.com,9028373523
Abhay Ray,M,2000-01-23,ar@gmail.com,9102982763
Madhur Saxena,M,2015-08-04,ms@gmail.com,9783734572
Aritro Ghosh,M,1959-12-22,ag@gmail.com,8273636732
Meghana,F,2005-12-30,mm@gfail.cof,2837635278
Akansha Joshi,F,2018-05-23,aj@gfail.cof,7763637387
Shobhit Gupta,M,2000-08-12,sg@gmail.com,3738373637
Shardul Kurdukar,M,2000-10-29,sk@gmail.com,8373738397
Ajay Babu,M,2012-06-09,ab@gmail.com,8397465273
Nehul,M,2000-03-04,n@gmail.com,8363527984
Saurabh,M,1999-08-07,s@gmail.com,9283764732
Vikhyath,M,2002-01-06,v@gmail.com,8735273233
Anand,M,2001-08-18,and@gmail.com,9383653738
Aasim,M,2008-08-22,asm@gmail.com,9283763468
Chetan,M,1992-12-30,c@gmail.com,9387378732
Mohit,M,2000-08-04,m@gmail.com,9383772834
Harshini,F,1989-08-19,hs@gmail.com,9823110234
Harini,F,1997-08-30,hi@gmail.com,8234712345
